Song Name,Book,Page Number,Pages
Drop-Me-Off-in-Harlem,,,
Early-Autumn,2,82,1
Ease-Away-Walk,,,
East-of-the-Sun,,,
Easy-Living,1,129,1
Ebb-Tide,,,
Eine-Kleine-Nachtmusik,,,
Elizete,1,136,1
Elmers-Tune,,,
Embraceable-You,2,85,1
Emily,,,
Emmanuelle,,,
Epistrophy,1,138,1
Estate,,,
Et-si-tu-nexistais-pas,,,
Europa-Earths-Cry-Heavens-Smile,,,
Everybody-Loves-My-Baby,,,
Everybodys-Song-But-My-Own,,,
Everything-But-You,,,
Everything-Happens-to-Me,,,
Every-Day-I-Have-The-Blues,,,
Evrything-I-Love,,,
Evry-Time-We-Say-Goodbye,,,
Exactly-Like-You,,,
E-S-P,1,141,1
Faithful-Hussar,,,
Fascinating-Rhythm,,,
Feelings,,,
Feeling-Good,,,
Fee-Fi-Fo-Fum,1,149,1
Five-Brothers,2,98,1
Flamingo,,,
Flat-Foot-Floogee,,,
Fly-Me-To-The-Moon-20220717-111202,2,106,1
Fools-Rush-In,2,107,1
Footprints,1,157,1
Forest-Flower,1,158,1
For-All-We-Know,,,
For-Heavens-Sake,1,159,1
Four,1,161,1
Four-Brothers,2,109,1
Freddie-Freeloader,1,164,1
Freight-Trane,,,
Frim-Fram-Sauce,,,
Gee-Baby-Aint-I-Good-To-You,,,
Georgia-On-My-Mind,,,
Georgia-On-My-Mind-trad,,,
Getting-Some-Fun-Out-Of-Life,,,
Get-Out-of-Town,2,120,1
Giant-steps,1,170,1
Give-Me-The-Simple-Life,,,
God-Bless-the-Child,1,173,1
Golden-Earrings,,,
Gone-with-the-Wind,,,
Goodbye,,,
Goody-Goody,,,
Good-Bait,2,123,1
Good-Morning-Heartache,,,
Goofus,,,
Gotta-Get-Some-Sleep,,,
Go-Down-Moses,,,
Groove-Juice-Special,,,
Groovin-High,1,181,1
Hackensack,2,131,1
Half-Nelson,1,184,1
Hallelujah,,,
Harlem-Nocturne,,,
Have-You-Met-Miss-Jones,1,186,1
Hello-Dolly,,,
Here-s-That-Rainy-Day,1,191,1
Hey-Jude,,,
Hindustan,,,
Historia-de-un-Amor,,,
Hit-That-Jive-Jack,,,
Honeysuckle-Rose,,,
Hot-House,,,
How-About-You,,,
How-Deep-Is-the-Ocean,,,
How-Do-You-Say-Auf-Wiedersehen,,,
How-High-The-Moon,1,202,1
How-Insensitive,1,203,1
How-Little-We-Know,,,
Ice-Cream,,,
If-I-Had-You,,,
If-I-Love-Again,,,
If-I-Should-Lose-You,2,155,1
If-I-Were-a-Bell,2,156,1
If-You-Never-Come-to-Me-Inutil-Paisagem,1,212,1
Imagination,2,162,1
Impressions,1,220,1
Indiana,2,166,1
Infant-Eyes,,,
Interplay,1,230,1
Invitation,1,234,1
In-A-Mellow-Tone,1,222,1
In-a-Sentimental-Mood,1,223,1
In-a-Shanty-in-Old-Shanty-Town,,,
In-the-mood,,,
Isnt-She-Lovely,,,
Is-It-True-What-They-Say-About-Dixie,,,
Is-You-Is-or-Is-You-Aint-My-Baby,,,
It-dont-mean-a-thing,1,241,1
It-Had-Better-Be-Tonight-Meglio-stasera,,,
It-had-to-be-you,2,173,1
Its-All-Your-Fault,,,
Its-Impossible,,,
Its-Only-A-Paper-Moon,2,175,1
Its-The-Talk-Of-The-Town,,,
I-Almost-Lost-My-Mind,,,
I-Cant-Believe-That-Youre-In-Love-With-Me,,,
I-Cant-Get-Started,1,208,1
I-Can-t-Give-You-Anything-But-Love,,,
I-Concentrate-on-You,,,
I-Could-Write-a-Book,1,209,1
I-Cover-the-Waterfront,2,152,1
I-Didnt-Know-About-You,,,
I-Didnt-Know-What-Time-It-Was,,,
I-Dont-Want-To-Set-The-World-On-Fire,,,
I-Fall-in-Love-Too-Easily,,,
I-Get-Along-Without-You-Very-Well,,,
I-Get-a-Kick-Out-of-You,2,158,2
I-Got-it-Bad-and-That-Aint-Good,,,
I-Got-Rhythm,,,
I-Guess-Ill-Hang-My-Tears-Out-to-Dry-1,,,
I-Know-That-You-Know,,,
I-Know-Why-And-So-Do-You,,,
I-left-my-heart-in-San-Francisko,,,
I-Let-a-Song-Go-Out-of-My-Heart,,,
I-Loves-You-Porgy,,,
I-Love-Paris,,,
I-Love-You,1,215,1
I-Mean-You,1,219,1
I-Only-Have-Eyes-for-You,,,
I-Remember-Clifford,1,235,1
I-Thought-About-You,2,174,1
I-Wanna-Be-Loved-By-You,,,
I-Want-A-Roof-Over-My-Head,,,
I-Was-Doing-All-Right,,,
I-Wished-on-the-Moon,,,
I-Wish-I-Knew,,,
I-Wish-You-Love,,,
I-Wont-Dance,,,
Ill-Be-A-Friend-With-Pleasure,,,
Ill-Be-Seeing-You,,,
Ill-Close-My-Eyes,,,
Ill-Keep-On-Loving-You,,,
Im-Always-Chasing-Rainbows,,,
Im-An-Errand-Boy-For-Rhythm,,,
Im-An-Old-Cowhand,,,
Im-a-Fool-to-Want-You,2,161,1
Im-Beginning-To-See-The-Light,,,
Im-Confessin,,,
Im-Crazy-Bout-My-Baby,,,
Im-Getting-Sentimental-Over-You,2,163,1
Im-In-The-Mood-For-Love,,,
Im-Just-A-Lucky-So-And-So,,,
Im-Nobodys-Baby,,,
Im-Putting-All-My-Eggs-In-One-Basket,,,
Ive-Got-A-Feeling-Im-Falling,,,
Ive-Got-The-World-On-A-String,,,
Ive-Grown-Accustomed-To-Her-Face,,,
Im-Gonna-Sit-Right-Down,,,
Ive-found-a-new-baby,2,178,1
Ive-got-you-under-my-skin,,,
Java-Jive,,,
Jazz-Me-Blues,,,
Ja-da,,,
Jeepers-Creepers,,,
Jeeves-Wooster,,,
Jersey-Bounce,,,
Je-Veux-Zaz,,,
Jim,,,
Jingle-Bells,,,
Jingle-Bell-Rock,,,
Joy-Spring,1,247,1
Jumpin-With-Symphony-Sid,2,188,0.5
Just-a-Closer-Walk-with-Thee,,,
Just-in-Time,2,192,1
Just-the-Two-of-Us,,,
Just-The-Way-You-Are,2,194,2
Just-You-Just-Me,2,193,1
Key-To-The-Highway,,,
Killer-Joe,,,
Killing-Me-Softly-with-His-Song,,,
Klactoveesedstene,,,
Knock-Me-A-Kiss,,,
Lady-Be-Good,,,
Lady-Bird,,,
